name,mass,mass err,radius,radius err,omega,omega err,CHZ
K2-219 b,2.38,0.092937565,1.348,0.1915,0.643006526,0.000110182,0
Kepler-1253 b,2.33,0.090985095,1.33,0.18,0.056633803,4.33E-07,0
Kepler-1244 b,2.39,0.093328059,1.35,0.44,18.59636947,8.96E-05,0
Kepler-1631 b,2.39,0.093328059,1.35,0.175,0.904555726,6.73E-06,0
Kepler-935 b,2.39,0.093328059,1.35,0.075,0.839023726,2.55E-06,0
Kepler-1185 b,2.33,0.090985095,1.33,0.065,0.046772877,3.01E-07,0
Kepler-446 d,2.39,0.093328059,1.35,0.22,20.26675057,8.66E-05,0
Kepler-301 c,2.39,0.093328059,1.35,0.72,0.950156172,5.61E-06,0
Kepler-1265 b,2.39,0.093328059,1.35,0.1,0.834413532,3.79E-06,0
Kepler-330 b,2.39,0.093328059,1.35,0.53,0.786269476,7.23E-06,0
Kepler-144 c,2.39,0.093328059,1.35,0.26,2.5,1.5,0
Kepler-1114 b,2.39,0.093328059,1.35,0.075,2.5,1.5,0
HD 20794 c,2.4,0.4,1.35,0.052716686,2.5,1.5,0
