name,mass,mass err,radius,radius err,omega,omega err,CHZ
Kepler-1328 b,0.904,0.035300655,0.98,0.145,1.562099872,7.55E-06,0
Kepler-403 b,2.1,0.082003734,1.25,0.22,0.64305103,4.66E-06,0
Kepler-887 c,1.51,0.05896459,1.13,0.14,0.920533954,5.97E-06,0
Kepler-186 c,2.1,0.082003734,1.25,0.14,1.051072355,1.66E-06,0
Kepler-1385 b,0.543,0.021203823,0.85,0.165,2.5,1.5,0
Kepler-1618 b,2.13,0.083175216,1.26,0.38,0.472933132,6.96E-06,0
Kepler-1590 b,1.55,0.060526566,1.14,0.245,0.801860657,4.56E-06,0
K2-148 b,2.33,0.090985095,1.33,0.185,1.737612892,0.000317086,0
Kepler-1598 b,0.809,0.031590962,0.95,0.19,1.009672787,6.57E-06,0
Kepler-953 c,1.81,0.070679409,1.19,0.1,0.476630953,1.32E-06,0
Kepler-398 b,0.749,0.029247998,0.93,0.1,2.23198407,6.02E-06,0
Kepler-1393 b,0.437,0.017064587,0.8,0.06,1.670264996,8.41E-06,0
Kepler-1541 b,1.65,0.064431505,1.16,0.09,0.290662983,9.33E-07,0
Kepler-1402 b,0.363,0.014174931,0.76,0.075,4.133437344,2.88E-05,0
Kepler-1464 c,0.972,0.037956014,1,0.165,0.381743894,3.86E-06,0
Kepler-392 b,0.972,0.037956014,1,0.21,0.997381044,1.03E-05,0
Kepler-37 b,3.1783,3.1783,0.336,0.013120597,0.399620642,2.12E-06,0
Kepler-806 b,1.55,0.060526566,1.14,0.285,1.651876611,6.74E-06,0
Kepler-197 b,1.04,0.040611373,1.02,0.04,1.445213662,5.94E-06,0
Kepler-119 c,0.721,0.028154615,0.92,0.35,1.357374107,9.21E-06,0
Kepler-1163 b,1.08,0.042173349,1.03,0.14,0.674271223,3.09E-06,0
Kepler-320 b,1.55,0.060526566,1.14,0.54,0.730792512,1.41E-05,0
Kepler-189 b,1.92,0.074974843,1.21,0.61,0.804962456,6.58E-06,0
Kepler-162 b,2.13,0.083175216,1.26,0.67,1.502924074,1.13E-05,0
Kepler-169 d,2.1,0.082003734,1.25,0.09,0.828904455,4.07E-06,0
Kepler-1434 b,1.41,0.05505965,1.11,0.205,1.036604559,1.15E-05,0
Kepler-381 b,0.937,0.036589285,0.99,0.22,1.430681495,7.12E-06,0
Kepler-1361 b,0.566,0.022101959,0.86,0.12,1.574309321,1.03E-05,0
Kepler-208 d,1.87,0.073022373,1.2,0.23,0.321201787,3.78E-06,0
Kepler-1576 b,1.12,0.043735325,1.04,0.21,1.593734098,1.36E-05,0
Kepler-831 b,2.15,0.083956204,1.27,0.085,1.242492353,2.81E-06,0
Kepler-387 b,1.08,0.042173349,1.03,0.24,0.827715062,1.15E-05,0
Kepler-1293 b,0.871,0.034012025,0.97,0.285,1.217892538,8.79E-06,0
Kepler-192 d,1.04,0.040611373,1.02,0.085,0.861871738,5.75E-06,0
Kepler-107 d,1.24,0.048421252,1.07,0.06,0.813032262,1.06E-05,0
Kepler-395 b,1.08,0.042173349,1.03,0.08,1.128127682,1.12E-05,0
Kepler-804 c,1.55,0.060526566,1.14,0.17,0.730880181,3.80E-06,0
Kepler-163 b,1.16,0.045297301,1.05,0.44,1.235684038,1.69E-05,0
Kepler-388 b,0.457,0.017845575,0.81,0.1,2.461443947,1.40E-05,0
Kepler-1616 b,1.04,0.040611373,1.02,0.31,0.469227903,4.82E-06,0
Kepler-1098 b,2.24,0.08747065,1.3,0.19,2.659319706,1.00E-05,0
Kepler-1311 b,2.07,0.080832252,1.24,0.255,0.2276149,2.83E-06,0
Kepler-1477 b,1.76,0.068726939,1.18,0.09,0.966889583,6.78E-06,0
Kepler-295 b,1.98,0.077317806,1.22,0.64,0.913811811,1.31E-05,0
Kepler-255 d,2.3,0.089813613,1.32,0.12,12.09342957,3.09E-05,0
Kepler-1572 b,0.779,0.03041948,0.94,0.135,0.190269363,1.01E-06,0
Kepler-776 b,2.18,0.085127686,1.28,0.09,1.122171824,4.51E-06,0
Kepler-1412 b,0.498,0.0194466,0.83,0.14,1.354833434,8.02E-06,0
Kepler-1276 b,1.81,0.070679409,1.19,0.155,0.28751212,2.51E-06,0
Kepler-135 c,1.65,0.064431505,1.16,0.23,1.098116006,1.39E-05,0
Kepler-1349 b,0.271,0.010582387,0.7,0.37,5.379427073,2.67E-05,0
Kepler-282 c,1.87,0.073022373,1.2,0.29,0.156043882,5.62E-06,0
Kepler-271 c,0.972,0.037956014,1,0.18,1.840351184,1.22E-05,0
Kepler-821 b,2.27,0.088642132,1.31,0.09,3.854243756,9.66E-06,0
K2-169 b,2.16,0.084346698,1.273,0.092,0.301341184,3.49E-05,0
Kepler-392 c,1.37,0.053497674,1.1,0.23,0.612177949,5.11E-06,0
Kepler-1435 b,0.566,0.022101959,0.86,0.105,2.340468229,1.89E-05,0
Kepler-1169 b,0.779,0.03041948,0.94,0.06,0.728865178,3.35E-06,0
Kepler-271 b,0.64,0.024991614,0.89,0.16,1.171023026,9.65E-06,0
Kepler-173 b,2.21,0.086299168,1.29,0.64,1.223746184,6.03E-06,0
Kepler-310 b,1.81,0.070679409,1.19,0.56,0.306068081,2.37E-06,0
Kepler-1500 b,1.87,0.073022373,1.2,0.185,0.926673869,9.94E-06,0
Kepler-1395 b,0.437,0.017064587,0.8,0.075,3.972041304,2.85E-05,0
Kepler-1370 c,2.15,0.083956204,1.27,0.37,0.50859996,3.69E-06,0
Kepler-130 b,1.04,0.040611373,1.02,0.04,0.879864982,4.06E-06,0
Kepler-197 d,1.98,0.077317806,1.22,0.1,0.539462543,3.30E-06,0
Kepler-1473 b,1.81,0.070679409,1.19,0.085,1.086655377,6.34E-06,0
Kepler-1429 b,2.21,0.086299168,1.29,0.245,3.21689129,3.27E-05,0
K2-136 b,0.937,0.036589285,0.99,0.05,0.562346172,5.65E-05,0
Kepler-1406 b,1.37,0.053497674,1.1,0.155,0.685807209,4.07E-06,0
Kepler-134 c,2.13,0.083175216,1.26,0.25,1.150732801,6.04E-06,0
Kepler-380 c,2.15,0.083956204,1.27,0.28,1.324479646,1.27E-05,0
Kepler-220 b,0.457,0.017845575,0.81,0.05,1.834220674,4.41E-06,0
Kepler-1223 b,1.98,0.077317806,1.22,0.07,0.255183173,1.61E-06,0
Kepler-907 b,1.87,0.073022373,1.2,0.055,1.027419312,4.20E-06,0
Kepler-431 d,1.41,0.05505965,1.11,0.043344831,1.33083528,0.052270486,0
Kepler-353 b,0.64,0.024991614,0.89,0.06,2.057192079,1.95E-05,0
Kepler-282 b,1.01,0.039439891,1.01,0.25,0.628519377,2.32E-05,0
Kepler-1421 b,0.749,0.029247998,0.93,0.155,1.333773425,2.70E-05,0
Kepler-132 c,2.18,0.085127686,1.28,0.25,1.077662335,3.19E-06,0
Kepler-1591 b,2.15,0.083956204,1.27,0.3,0.783735518,7.50E-06,0
Kepler-381 c,1.46,0.05701212,1.12,0.25,0.611206137,5.89E-06,0
